Entry	Reviewed	Gene Names	Organism (ID)	EC number	Gene Ontology (GO)
P0AFA2	reviewed	narX narR b1222 JW1213	83333	2.7.13.3	outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; phosphoprotein phosphatase activity [GO:0004721]; phosphorelay sensor kinase activity [GO:0000155]; protein homodimerization activity [GO:0042803]; cellular response to nitrate [GO:0071249]; cellular response to nitrite [GO:0071250]; DNA damage response [GO:0006974]; nitrate assimilation [GO:0042128]; signal transduction [GO:0007165]
P0AFA7	reviewed	nhaB b1186 JW1175	83333		plasma membrane [GO:0005886]; sodium:proton antiporter activity [GO:0015385]; response to lithium ion [GO:0010226]
P0AFB1	reviewed	nlpI yhbM b3163 JW3132	83333		plasma membrane [GO:0005886]; protein homodimerization activity [GO:0042803]; protein-macromolecule adaptor activity [GO:0030674]; cell division [GO:0051301]; peptidoglycan metabolic process [GO:0000270]
P0AFB5	reviewed	glnL glnR ntrB b3869 JW3840	83333	2.7.13.3; 3.1.3.-	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; phosphoprotein phosphatase activity [GO:0004721]; phosphorelay sensor kinase activity [GO:0000155]; phosphotransferase activity, carboxyl group as acceptor [GO:0016774]; protein histidine kinase activity [GO:0004673]; protein homodimerization activity [GO:0042803]; nitrogen fixation [GO:0009399]; regulation of DNA-templated transcription [GO:0006355]; signal transduction involved in regulation of gene expression [GO:0023019]
P0AFB8	reviewed	glnG glnT ntrC b3868 JW3839	83333		cytosol [GO:0005829]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; phosphorelay response regulator activity [GO:0000156]; sequence-specific DNA binding [GO:0043565]; nitrogen fixation [GO:0009399]; regulation of DNA-templated transcription [GO:0006355]; regulation of nitrogen utilization [GO:0006808]
P0AFC0	reviewed	nudB ntpA b1865 JW1854	83333	3.6.1.67	dATP diphosphatase activity [GO:0008828]; dihydroneopterin triphosphate pyrophosphohydrolase activity [GO:0019177]; magnesium ion binding [GO:0000287]; metal ion binding [GO:0046872]; folic acid biosynthetic process [GO:0046656]; tetrahydrofolate biosynthetic process [GO:0046654]
P0AFC3	reviewed	nuoA b2288 JW2283	83333	7.1.1.-	membrane [GO:0016020]; NADH dehydrogenase complex [GO:0030964]; plasma membrane [GO:0005886]; plasma membrane respiratory chain complex I [GO:0045272]; respiratory chain complex I [GO:0045271]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; NADH:ubiquinone reductase (non-electrogenic) activity [GO:0050136]; quinone binding [GO:0048038]; respiratory electron transport chain [GO:0022904]
P0AFC7	reviewed	nuoB b2287 JW5875	83333	7.1.1.-	membrane [GO:0016020]; NADH dehydrogenase complex [GO:0030964]; plasma membrane [GO:0005886]; plasma membrane respiratory chain complex I [GO:0045272]; respiratory chain complex I [GO:0045271]; 4 iron, 4 sulfur cluster binding [GO:0051539]; iron ion binding [GO:0005506]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; NADH:ubiquinone reductase (non-electrogenic) activity [GO:0050136]; quinone binding [GO:0048038]; aerobic respiration [GO:0009060]; electron transport coupled proton transport [GO:0015990]; respiratory electron transport chain [GO:0022904]
P0AFD1	reviewed	nuoE b2285 JW2280	83333	7.1.1.-	membrane [GO:0016020]; NADH dehydrogenase complex [GO:0030964]; plasma membrane [GO:0005886]; plasma membrane respiratory chain complex I [GO:0045272]; respiratory chain complex I [GO:0045271]; 2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]; quinone binding [GO:0048038]; proton transmembrane transport [GO:1902600]; respiratory electron transport chain [GO:0022904]
P0AFD4	reviewed	nuoH b2282 JW2277	83333	7.1.1.-	membrane [GO:0016020]; NADH dehydrogenase complex [GO:0030964]; plasma membrane [GO:0005886]; plasma membrane respiratory chain complex I [GO:0045272]; respiratory chain complex I [GO:0045271]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]; quinone binding [GO:0048038]; aerobic respiration [GO:0009060]; proton transmembrane transport [GO:1902600]; respiratory electron transport chain [GO:0022904]
P0AFD6	reviewed	nuoI b2281 JW2276	83333	7.1.1.-	membrane [GO:0016020]; NADH dehydrogenase complex [GO:0030964]; plasma membrane [GO:0005886]; plasma membrane respiratory chain complex I [GO:0045272]; respiratory chain complex I [GO:0045271]; 4 iron, 4 sulfur cluster binding [GO:0051539]; iron ion binding [GO:0005506]; NADH:ubiquinone reductase (non-electrogenic) activity [GO:0050136]; quinone binding [GO:0048038]; aerobic respiration [GO:0009060]; respiratory electron transport chain [GO:0022904]
P0AFE0	reviewed	nuoJ b2280 JW2275	83333	7.1.1.-	membrane [GO:0016020]; NADH dehydrogenase complex [GO:0030964]; plasma membrane [GO:0005886]; plasma membrane respiratory chain complex I [GO:0045272]; respiratory chain complex I [GO:0045271]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]; respiratory electron transport chain [GO:0022904]
P0AFE4	reviewed	nuoK b2279 JW2274	83333	7.1.1.-	membrane [GO:0016020]; NADH dehydrogenase complex [GO:0030964]; plasma membrane [GO:0005886]; plasma membrane respiratory chain complex I [GO:0045272]; respiratory chain complex I [GO:0045271]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; NADH:ubiquinone reductase (non-electrogenic) activity [GO:0050136]; quinone binding [GO:0048038]; ATP synthesis coupled electron transport [GO:0042773]; respiratory electron transport chain [GO:0022904]
P0AFE8	reviewed	nuoM b2277 JW2272	83333	7.1.1.-	membrane [GO:0016020]; NADH dehydrogenase complex [GO:0030964]; plasma membrane [GO:0005886]; plasma membrane respiratory chain complex I [GO:0045272]; respiratory chain complex I [GO:0045271]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ubiquinone binding [GO:0048039]; aerobic respiration [GO:0009060]; ATP synthesis coupled electron transport [GO:0042773]; electron transport coupled proton transport [GO:0015990]; respiratory electron transport chain [GO:0022904]
P0AFF0	reviewed	nuoN b2276 JW2271	83333	7.1.1.-	membrane [GO:0016020]; NADH dehydrogenase complex [GO:0030964]; plasma membrane [GO:0005886]; plasma membrane respiratory chain complex I [GO:0045272]; respiratory chain complex I [GO:0045271]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; NADH:ubiquinone reductase (non-electrogenic) activity [GO:0050136]; quinone binding [GO:0048038]; aerobic respiration [GO:0009060]; ATP synthesis coupled electron transport [GO:0042773]; electron transport coupled proton transport [GO:0015990]; respiratory electron transport chain [GO:0022904]
P0AFF2	reviewed	nupC cru b2393 JW2389	83333		plasma membrane [GO:0005886]; cytidine transmembrane transporter activity [GO:0015212]; nucleoside:proton symporter activity [GO:0015506]; uridine transmembrane transporter activity [GO:0015213]; nucleoside transmembrane transport [GO:1901642]
P0AFF4	reviewed	nupG b2964 JW2932	83333		plasma membrane [GO:0005886]; cytidine transmembrane transporter activity [GO:0015212]; nucleoside:proton symporter activity [GO:0015506]; pyrimidine nucleoside transmembrane transporter activity [GO:0015214]; uridine transmembrane transporter activity [GO:0015213]; adenosine transport [GO:0032238]; nucleoside transmembrane transport [GO:1901642]; purine nucleoside transmembrane transport [GO:0015860]; pyrimidine nucleoside transport [GO:0015864]; uridine transmembrane transport [GO:0015862]
P0AFF6	reviewed	nusA b3169 JW3138	83333		cytosol [GO:0005829]; transcription elongation factor complex [GO:0008023]; bacterial-type RNA polymerase core enzyme binding [GO:0001000]; DNA-binding transcription factor activity [GO:0003700]; nucleotide binding [GO:0000166]; protein domain specific binding [GO:0019904]; RNA binding [GO:0003723]; DNA-templated transcription termination [GO:0006353]; protein complex oligomerization [GO:0051259]; regulation of DNA-templated transcription elongation [GO:0032784]; ribosome biogenesis [GO:0042254]; transcription antitermination [GO:0031564]
P0AFG3	reviewed	sucA b0726 JW0715	83333	1.2.4.2	cytoplasm [GO:0005737]; cytosol [GO:0005829]; oxoglutarate dehydrogenase complex [GO:0045252]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; nucleotide binding [GO:0000166]; oxoglutarate dehydrogenase (succinyl-transferring) activity [GO:0004591]; thiamine pyrophosphate binding [GO:0030976]; tricarboxylic acid cycle [GO:0006099]
P0AFG6	reviewed	sucB b0727 JW0716	83333	2.3.1.61	cytoplasm [GO:0005737]; cytosol [GO:0005829]; oxoglutarate dehydrogenase complex [GO:0045252]; dihydrolipoyllysine-residue succinyltransferase activity [GO:0004149]; lipoic acid binding [GO:0031405]; L-lysine catabolic process to acetyl-CoA via saccharopine [GO:0033512]; tricarboxylic acid cycle [GO:0006099]
P0AFG8	reviewed	aceE b0114 JW0110	83333	1.2.4.1	cytosol [GO:0005829]; membrane [GO:0016020]; pyruvate dehydrogenase complex [GO:0045254]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; molecular adaptor activity [GO:0060090]; protein homodimerization activity [GO:0042803]; pyruvate dehydrogenase (acetyl-transferring) activity [GO:0004739]; pyruvate dehydrogenase activity [GO:0004738]; small molecule binding [GO:0036094]; thiamine pyrophosphate binding [GO:0030976]; pyruvate catabolic process [GO:0042867]
P0AFI0	reviewed	oxc yfdU b2373 JW2370	83333	4.1.1.8	ADP binding [GO:0043531]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; oxalyl-CoA decarboxylase activity [GO:0008949]; thiamine pyrophosphate binding [GO:0030976]; cellular response to acidic pH [GO:0071468]; fatty acid alpha-oxidation [GO:0001561]; oxalate catabolic process [GO:0033611]
P0AFI2	reviewed	parC b3019 JW2987	83333	5.6.2.2	chromosome [GO:0005694]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex [GO:0009330]; extrinsic component of plasma membrane [GO:0019897]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; chromosome segregation [GO:0007059]; DNA topological change [GO:0006265]; plasmid partitioning [GO:0030541]; sister chromatid cohesion [GO:0007062]
P0AFI5	reviewed	pbpG yohB b2134 JW5355	83333	3.4.21.-	periplasmic space [GO:0042597]; endopeptidase activity [GO:0004175]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]; cell wall organization [GO:0071555]; FtsZ-dependent cytokinesis [GO:0043093]; peptidoglycan biosynthetic process [GO:0009252]; peptidoglycan metabolic process [GO:0000270]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]; response to xenobiotic stimulus [GO:0009410]
P0AFI7	reviewed	pdxH b1638 JW1630	83333	1.4.3.5	cytosol [GO:0005829]; protein-containing complex [GO:0032991]; FMN binding [GO:0010181]; oxidoreductase activity [GO:0016491]; phosphate ion binding [GO:0042301]; protein homodimerization activity [GO:0042803]; pyridoxal phosphate binding [GO:0030170]; pyridoxamine phosphate oxidase activity [GO:0004733]; riboflavin binding [GO:1902444]; 'de novo' pyridoxal 5'-phosphate biosynthetic process [GO:0036001]; pyridoxal phosphate biosynthetic process [GO:0042823]; pyridoxine biosynthetic process [GO:0008615]
P0AFJ7	reviewed	pitA pit b3493 JW3460	83333		plasma membrane [GO:0005886]; arsenate ion transmembrane transporter activity [GO:1901683]; phosphate transmembrane transporter activity [GO:0005315]; solute:proton symporter activity [GO:0015295]; tellurite transmembrane transporter activity [GO:0015654]; zinc ion transmembrane transporter activity [GO:0005385]; arsenate ion transmembrane transport [GO:1901684]; magnesium ion homeostasis [GO:0010960]; phosphate ion transmembrane transport [GO:0035435]; tellurite transport [GO:0015710]
P0AFL3	reviewed	ppiA rot rotA b3363 JW3326	83333	5.2.1.8	outer membrane-bounded periplasmic space [GO:0030288]; periplasmic space [GO:0042597]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein folding [GO:0006457]
P0AFL6	reviewed	ppx b2502 JW2487	83333	3.6.1.11	plasma membrane [GO:0005886]; exopolyphosphatase activity [GO:0004309]; guanosine tetraphosphate binding [GO:0097216]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; polyphosphate catabolic process [GO:0006798]
P0AFM2	reviewed	proX proU b2679 JW2654	83333		membrane [GO:0016020]; outer membrane-bounded periplasmic space [GO:0030288]; ProVWX complex [GO:1990222]; quaternary ammonium group binding [GO:0050997]; transmembrane transporter activity [GO:0022857]; amino acid import across plasma membrane [GO:0089718]; cellular response to osmotic stress [GO:0071470]; glycine betaine transport [GO:0031460]; glycine import across plasma membrane [GO:1903804]; hyperosmotic response [GO:0006972]
P0AFM6	reviewed	pspA b1304 JW1297	83333		cell pole [GO:0060187]; cytosol [GO:0005829]; plasma membrane [GO:0005886]; transcription regulator complex [GO:0005667]; identical protein binding [GO:0042802]; phospholipid binding [GO:0005543]; phage shock [GO:0009271]; regulation of cellular response to stress [GO:0080135]; regulation of DNA-templated transcription [GO:0006355]; response to heat [GO:0009408]
P0AFP6	reviewed	ybgI b0710 JW0700	83333		cell pole [GO:0060187]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; DNA repair [GO:0006281]; protein hexamerization [GO:0034214]; response to ionizing radiation [GO:0010212]
P0AFQ5	reviewed	rutC ycdK b1010 JW0995	83333	3.5.-.-	cytosol [GO:0005829]; deaminase activity [GO:0019239]; identical protein binding [GO:0042802]; nitrogen utilization [GO:0019740]; pyrimidine nucleobase catabolic process [GO:0006208]; uracil catabolic process [GO:0006212]
P0AFR2	reviewed	dauA ychM b1206 JW5189	83333		plasma membrane [GO:0005886]; fumarate transmembrane transporter activity [GO:0015138]; L-aspartate transmembrane transporter activity [GO:0015183]; secondary active sulfate transmembrane transporter activity [GO:0008271]; succinate transmembrane transporter activity [GO:0015141]; aspartate transmembrane transport [GO:0015810]; fumarate transport [GO:0015741]; succinate transmembrane transport [GO:0071422]
P0AFS3	reviewed	folM ydgB b1606 JW1598	83333	1.5.1.3; 1.5.1.50	dihydrofolate reductase activity [GO:0004146]; dihydromonapterin reductase activity [GO:0071172]; identical protein binding [GO:0042802]; 10-formyltetrahydrofolate biosynthetic process [GO:0009257]; folic acid biosynthetic process [GO:0046656]; one-carbon metabolic process [GO:0006730]; protein homotetramerization [GO:0051289]; pteridine-containing compound biosynthetic process [GO:0042559]
P0AFS9	reviewed	mepM yebA b1856 JW5304	83333	3.4.24.-	plasma membrane [GO:0005886]; endopeptidase activity [GO:0004175]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; capsule polysaccharide biosynthetic process [GO:0045227]; cell wall organization [GO:0071555]; peptidoglycan metabolic process [GO:0000270]; peptidoglycan turnover [GO:0009254]; proteolysis [GO:0006508]; septum digestion after cytokinesis [GO:0000920]
P0AFT2	reviewed	tcyL yecS b1918 JW1903	83333		ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; plasma membrane [GO:0005886]; L-cystine transmembrane transporter activity [GO:0015184]; cysteine transmembrane transport [GO:1903712]; diaminopimelate transport [GO:0015830]; L-cystine transport [GO:0015811]; sulfur utilization [GO:0006791]
P0AFU4	reviewed	glrR yfhA b2554 JW2538	83333		cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA-binding transcription factor activity [GO:0003700]; phosphorelay response regulator activity [GO:0000156]; DNA-templated transcription [GO:0006351]; phosphorelay signal transduction system [GO:0000160]; positive regulation of DNA-templated transcription [GO:0045893]
P0AFV4	reviewed	mepS spr yeiV b2175 JW2163	83333	3.4.-.-; 3.4.17.13	cell outer membrane [GO:0009279]; cysteine-type peptidase activity [GO:0008234]; endopeptidase activity [GO:0004175]; muramoyltetrapeptide carboxypeptidase activity [GO:0106415]; capsule polysaccharide biosynthetic process [GO:0045227]; cell wall organization [GO:0071555]; peptidoglycan metabolic process [GO:0000270]; peptidoglycan turnover [GO:0009254]; proteolysis [GO:0006508]
P0AFW0	reviewed	rfaH hlyT sfrB b3842 JW3818	83333		cytosol [GO:0005829]; bacterial-type RNA polymerase core enzyme binding [GO:0001000]; DNA binding [GO:0003677]; regulatory RNA binding [GO:0061980]; transcription antitermination factor activity, DNA binding [GO:0001073]; translation activator activity [GO:0008494]; DNA-templated transcription elongation [GO:0006354]; positive regulation of translation [GO:0045727]; transcription antitermination [GO:0031564]; transcription elongation-coupled chromatin remodeling [GO:0140673]
P0AFX0	reviewed	hpf yhbH b3203 JW3170	83333		cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; ribosomal small subunit binding [GO:0043024]; ribosome binding [GO:0043022]; dormancy process [GO:0022611]; negative regulation of translation [GO:0017148]; negative regulation of translational elongation [GO:0045900]
P0AFX7	reviewed	rseA mclA yfiJ b2572 JW2556	83333		plasma membrane [GO:0005886]; sigma factor antagonist complex [GO:1903865]; molecular adaptor activity [GO:0060090]; sigma factor antagonist activity [GO:0016989]; negative regulation of DNA-templated transcription [GO:0045892]; response to stress [GO:0006950]
P0AFX9	reviewed	rseB b2571 JW2555	83333		outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]; sigma factor antagonist complex [GO:1903865]; antisigma factor binding [GO:0045152]; identical protein binding [GO:0042802]; lipid binding [GO:0008289]; negative regulation of DNA-templated transcription [GO:0045892]; protein stabilization [GO:0050821]; regulation of polysaccharide biosynthetic process [GO:0032885]
P0AFY6	reviewed	sbmA b0377 JW0368	83333		plasma membrane [GO:0005886]; ATP binding [GO:0005524]; microcin transmembrane transporter activity [GO:0015638]; peptide transmembrane transporter activity [GO:1904680]; protein homodimerization activity [GO:0042803]; secondary active transmembrane transporter activity [GO:0015291]; microcin B17 transport [GO:0042885]; microcin transport [GO:0042884]; peptide transport [GO:0015833]; protein transport [GO:0015031]; response to antibiotic [GO:0046677]
P0AFY8	reviewed	seqA b0687 JW0674	83333		cytosol [GO:0005829]; protein-containing complex [GO:0032991]; SeqA-DNA complex [GO:1990097]; DNA replication origin binding [GO:0003688]; double-stranded methylated DNA binding [GO:0010385]; hemi-methylated DNA-binding [GO:0044729]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; negative regulation of DNA-templated DNA replication initiation [GO:0032297]; nucleoid organization [GO:0090143]; regulation of DNA-templated transcription [GO:0006355]; response to radiation [GO:0009314]; sister chromatid cohesion [GO:0007062]
P0AFZ3	reviewed	sspB b3228 JW3197	83333		cytosol [GO:0005829]; HslUV protease complex [GO:0009376]; ribosome [GO:0005840]; ATPase binding [GO:0051117]; molecular adaptor activity [GO:0060090]; protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]; positive regulation of ATP-dependent activity [GO:0032781]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of proteolysis involved in protein catabolic process [GO:1903052]
P0AFZ5	reviewed	sulA sfiA b0958 JW0941	83333		division septum assembly [GO:0000917]; DNA damage response [GO:0006974]; negative regulation of cell division [GO:0051782]; negative regulation of cytokinesis [GO:0032466]; negative regulation of FtsZ-dependent cytokinesis [GO:2000245]; negative regulation of protein polymerization [GO:0032272]; SOS response [GO:0009432]
P0AG07	reviewed	rpe dod yhfD b3386 JW3349	83333	5.1.3.1	cytosol [GO:0005829]; D-ribulose-phosphate 3-epimerase activity [GO:0004750]; ferrous iron binding [GO:0008198]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975]; pentose catabolic process [GO:0019323]; pentose-phosphate shunt, non-oxidative branch [GO:0009052]
P0AG11	reviewed	umuD b1183 JW1172	83333	3.4.21.-	cytosol [GO:0005829]; DNA polymerase V complex [GO:0009355]; ATP-dependent activity, acting on DNA [GO:0008094]; DNA-directed DNA polymerase activity [GO:0003887]; identical protein binding [GO:0042802]; nucleic acid binding [GO:0003676]; serine-type peptidase activity [GO:0008236]; single-stranded DNA binding [GO:0003697]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]; proteolysis [GO:0006508]; regulation of DNA-templated transcription [GO:0006355]; SOS response [GO:0009432]; translesion synthesis [GO:0019985]
P0AG16	reviewed	purF b2312 JW2309	83333	2.4.2.14	cytoplasm [GO:0005737]; cytosol [GO:0005829]; amidophosphoribosyltransferase activity [GO:0004044]; glycosyltransferase activity [GO:0016757]; guanosine tetraphosphate binding [GO:0097216]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; 'de novo' IMP biosynthetic process [GO:0006189]; glutamine metabolic process [GO:0006541]; purine nucleobase biosynthetic process [GO:0009113]; purine nucleotide biosynthetic process [GO:0006164]
P0AG18	reviewed	purE b0523 JW0512	83333	5.4.99.18	cytosol [GO:0005829]; 5-(carboxyamino)imidazole ribonucleotide mutase activity [GO:0034023]; identical protein binding [GO:0042802]; 'de novo' IMP biosynthetic process [GO:0006189]
P0AG24	reviewed	spoT b3650 JW3625	83333	2.7.6.5; 3.1.7.2	cytosol [GO:0005829]; GTP diphosphokinase activity [GO:0008728]; guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity [GO:0008893]; kinase activity [GO:0016301]; guanosine tetraphosphate biosynthetic process [GO:0015970]; guanosine tetraphosphate metabolic process [GO:0015969]; nucleobase-containing small molecule interconversion [GO:0015949]; response to starvation [GO:0042594]
P0AG30	reviewed	rho nitA psuA rnsC sbaA tsu b3783 JW3756	83333	3.6.4.-	cytosol [GO:0005829]; membrane [GO:0016020]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent activity, acting on RNA [GO:0008186]; helicase activity [GO:0004386]; identical protein binding [GO:0042802]; RNA binding [GO:0003723]; DNA-templated transcription termination [GO:0006353]
P0AG55	reviewed	rplF b3305 JW3267	83333		cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; response to antibiotic [GO:0046677]; ribosomal large subunit assembly [GO:0000027]
P0AG59	reviewed	rpsN b3307 JW3269	83333		cytoplasm [GO:0005737]; cytosolic small ribosomal subunit [GO:0022627]; small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; cytoplasmic translation [GO:0002181]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]
P0AG63	reviewed	rpsQ neaA b3311 JW3273	83333		cytoplasm [GO:0005737]; cytosolic small ribosomal subunit [GO:0022627]; molecular adaptor activity [GO:0060090]; rRNA binding [GO:0019843]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]; zinc ion binding [GO:0008270]; cytoplasmic translation [GO:0002181]; response to antibiotic [GO:0046677]; ribosomal small subunit assembly [GO:0000028]
P0AG67	reviewed	rpsA ssyF b0911 JW0894	83333		cytoplasm [GO:0005737]; cytosolic small ribosomal subunit [GO:0022627]; membrane [GO:0016020]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; single-stranded RNA binding [GO:0003727]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; negative regulation of cytoplasmic translation [GO:2000766]; positive regulation of cytoplasmic translation [GO:2000767]; ribosomal small subunit assembly [GO:0000028]; RNA secondary structure unwinding [GO:0010501]; translation [GO:0006412]
P0AG74	reviewed	rusA rus ybcP b0550 JW0538	83333	3.1.21.10	crossover junction DNA endonuclease activity [GO:0008821]; four-way junction DNA binding [GO:0000400]; magnesium ion binding [GO:0000287]; protein homodimerization activity [GO:0042803]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]
P0AG80	reviewed	ugpB b3453 JW3418	83333		glycerol-3-phosphate-transporting ATPase complex [GO:1902517]; membrane [GO:0016020]; outer membrane-bounded periplasmic space [GO:0030288]; glycerol-3-phosphate transmembrane transport [GO:0015794]; glycerophosphodiester transmembrane transport [GO:0001407]
P0AG86	reviewed	secB b3609 JW3584	83333		cytosol [GO:0005829]; preprotein binding [GO:0070678]; unfolded protein binding [GO:0051082]; maintenance of unfolded protein [GO:0036506]; protein folding [GO:0006457]; protein localization [GO:0008104]; protein targeting [GO:0006605]; protein tetramerization [GO:0051262]; protein transport [GO:0015031]; protein transport by the Sec complex [GO:0043952]
P0AG90	reviewed	secD b0408 JW0398	83333		cell envelope Sec protein transport complex [GO:0031522]; membrane [GO:0016020]; plasma membrane [GO:0005886]; protein-transporting ATPase activity [GO:0015450]; intracellular protein transmembrane transport [GO:0065002]; protein insertion into membrane from inner side [GO:0032978]; protein targeting [GO:0006605]; protein transport [GO:0015031]; protein transport by the Sec complex [GO:0043952]
P0AG93	reviewed	secF b0409 JW0399	83333		cell envelope Sec protein transport complex [GO:0031522]; membrane [GO:0016020]; plasma membrane [GO:0005886]; protein-transporting ATPase activity [GO:0015450]; intracellular protein transmembrane transport [GO:0065002]; protein insertion into membrane from inner side [GO:0032978]; protein targeting [GO:0006605]; protein transport [GO:0015031]; protein transport by the Sec complex [GO:0043952]
P0AG96	reviewed	secE prlG b3981 JW3944	83333		cell envelope Sec protein transport complex [GO:0031522]; membrane [GO:0016020]; plasma membrane [GO:0005886]; protein transmembrane transporter activity [GO:0008320]; intracellular protein transmembrane transport [GO:0065002]; intracellular protein transport [GO:0006886]; protein insertion into membrane from inner side [GO:0032978]; protein secretion [GO:0009306]; protein transport by the Sec complex [GO:0043952]; SRP-dependent cotranslational protein targeting to membrane, translocation [GO:0006616]
P0AG99	reviewed	secG b3175 JW3142	83333		cell envelope Sec protein transport complex [GO:0031522]; membrane [GO:0016020]; plasma membrane [GO:0005886]; protein transmembrane transporter activity [GO:0008320]; protein-transporting ATPase activity [GO:0015450]; intracellular protein transmembrane transport [GO:0065002]; intracellular protein transport [GO:0006886]; protein insertion into membrane from inner side [GO:0032978]; protein secretion [GO:0009306]; protein transport by the Sec complex [GO:0043952]; SRP-dependent cotranslational protein targeting to membrane, translocation [GO:0006616]
P0AGA2	reviewed	secY prlA b3300 JW3262	83333		cell envelope Sec protein transport complex [GO:0031522]; membrane [GO:0016020]; plasma membrane [GO:0005886]; protein transmembrane transporter activity [GO:0008320]; signal sequence binding [GO:0005048]; intracellular protein transmembrane transport [GO:0065002]; intracellular protein transport [GO:0006886]; protein insertion into membrane from inner side [GO:0032978]; protein transport by the Sec complex [GO:0043952]; SRP-dependent cotranslational protein targeting to membrane, translocation [GO:0006616]
P0AGB0	reviewed	serB b4388 JW4351	83333	3.1.3.3	cytoplasm [GO:0005737]; L-phosphoserine phosphatase activity [GO:0036424]; magnesium ion binding [GO:0000287]; phosphatase activity [GO:0016791]; amino acid biosynthetic process [GO:0008652]; L-serine biosynthetic process [GO:0006564]
P0AGB3	reviewed	rpoH fam hin htpR b3461 JW3426	83333		cytosol [GO:0005829]; cytosolic DNA-directed RNA polymerase complex [GO:0000345]; invertasome [GO:0031421]; plasma membrane [GO:0005886]; bacterial-type RNA polymerase core enzyme binding [GO:0001000]; core promoter sequence-specific DNA binding [GO:0001046]; DNA binding [GO:0003677]; DNA-binding transcription activator activity [GO:0001216]; sigma factor activity [GO:0016987]; site-specific recombinase activity [GO:0009009]; DNA recombination [GO:0006310]; DNA-templated transcription [GO:0006351]; DNA-templated transcription initiation [GO:0006352]; regulation of DNA-templated transcription [GO:0006355]; regulation of DNA-templated transcription initiation [GO:2000142]; regulation of gene expression [GO:0010468]; response to heat [GO:0009408]
